"Record ID","Auditor initials","Journal name","Does the journal recommend or mandate any relevant document? (e.g. EQUATOR guidelines, J Physiol Drummond good reporting series, J Appl Physiol Curran-Everett series)    * If the journal only mentions or highlights that external reporting guidelines exists, DO NOT tick the box in RedCap for the mentioned reporting guideline(s).  * If the journal recommends or mandates one or more external reporting guidelines, DO tick the box in RedCap for the mentioned reporting guideline(s).","Name(s) of reference document(s) (choice=AGREE)","Name(s) of reference document(s) (choice=APS_Rigor)","Name(s) of reference document(s) (choice=ARRIVE)","Name(s) of reference document(s) (choice=BRISQ)","Name(s) of reference document(s) (choice=CARE)","Name(s) of reference document(s) (choice=CHEERS)","Name(s) of reference document(s) (choice=CONSORT)","Name(s) of reference document(s) (choice=COREQ)","Name(s) of reference document(s) (choice=FORCE)","Name(s) of reference document(s) (choice=GRIPS)","Name(s) of reference document(s) (choice=ICMJE-recomm)","Name(s) of reference document(s) (choice=MOOSE)","Name(s) of reference document(s) (choice=PRISMA)","Name(s) of reference document(s) (choice=recomm-report-)","Name(s) of reference document(s) (choice=RECORD)","Name(s) of reference document(s) (choice=REFLECT)","Name(s) of reference document(s) (choice=REMARK)","Name(s) of reference document(s) (choice=RIGHT)","Name(s) of reference document(s) (choice=SAMPL)","Name(s) of reference document(s) (choice=SPIRIT)","Name(s) of reference document(s) (choice=SQUIRE)","Name(s) of reference document(s) (choice=SRQR)","Name(s) of reference document(s) (choice=stand-rep-qual-)","Name(s) of reference document(s) (choice=STARD)","Name(s) of reference document(s) (choice=STREGA)","Name(s) of reference document(s) (choice=STROBE)","Name(s) of reference document(s) (choice=STROND PART 1 AND 2)","Name(s) of reference document(s) (choice=TIDieR)","Name(s) of reference document(s) (choice=TOP)","Name(s) of reference document(s) (choice=TREND)","Name(s) of reference document(s) (choice=TRIPOD)","Report whether the study protocol was pre-registered, for clinical trials?",Comments,"Report whether the study protocol was pre-registered or registered, for all other study designs?",Comments,"Report all statistical tests performed?",Comments,"Report all outcomes?",Comments,"Report, for frequentist analysis, the alpha threshold (e.g. 0.05) that defines statistical significance?",Comments,"Report criteria used to exclude data?",Comments,"Report how any missing data were treated in the analyses?",Comments,"Report, for Bayesian analysis, the prior probabilities?",Comments,"Define all written measures that describe data variability?",Comments,"Describe data using mean and SD, where appropriate?",Comments,"Describe data using median and IQR, range, or both, where appropriate? ",Comments,"NOT use the SE or CI (e.g. 95% CI) to describe data?",Comments,"Report the P value for all tests of statistical significance? ",Comments,"Report exact P values (e.g. p = 0.021 or p < 0.001)?",Comments,"Report a measure of precision (e.g. 95% CI) for effect sizes? ",Comments,"NOT interpret P values above the alpha threshold as trends towards statistical significance or as statistically significant?",Comments,"Report, for Bayesian analysis, the posterior distribution with a measure of central tendency and a credibility interval?",Comments,"Define all plotted measures that summarise data variability or estimates of effect size?",Comments,"Plot the individual participant/ specimen data in all figures that summarise data variability or estimates of effect size?",Comments,"Make (de-identified) data used in the statistical analysis publicly available?",Comments,"Make data processing code or spreadsheets publicly available? ",Comments,"Make statistical analysis code or spreadsheets publicly available? ",Comments,"Were there inconsistencies within the Journal Instructions to authors? (e.g. Journal Instructions state 'do not report SEs' in text but, in another section of the Journal Instructions to authors, show examples of figures with SEs)","If YES, copy-paste relevant text, or comment",Complete?
47,SG,"journal of neurophysiology",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned","But for figures and legends  'Information reported in figures and legends are required to describe each individual experiment presented, including the number of samples or animals used, the statistical test performed, sex, and any non-uniform adjustments to digital images.'","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Authors are strongly encouraged to make the data underlying the results presented in the manuscript available to reviewers and readers. Authors should make the data available upon request or store it in appropriate public repositories.    Note the OR in the last sentence may need discussion.  I have given Benefit of doubt to the Journal.  ",Encouraged/recommended,"Here is the quote - it only applies to computer simulation.  Given benefit of doubt!  'For manuscripts reporting computer simulation using original, author-generated code, authors are strongly encouraged to deposit software and code via a public repository, such as GitHub.'","Not mentioned","Not explicit but see my comment in the next box. ",Yes,"This paragraph is potentially ambivalent:  'Work published in the APS Journals must necessarily be independently verifiable. Authors describing results derived from unique materials, for example: antibodies, recombinant plasmids and cloned DNAs, and mutant cell lines or viruses, are expected to make such materials available to qualified investigators on request. In addition, authors are encouraged to make data that underlie the conclusions reported in the article freely available via public repositories or available to readers upon request.' [How can work be independently verifiable if the authors are only 'encouraged' to make data available?    NOTE it does mention the JAPPL/APS Curran Everett articles under 'Related Editorials and guidelines'  You also get there by clicking to the Rigor and Reproducibility Checklist.    This starts with the following entreaty: Articles published in APS journals must report experimental methods in sufficient detail to allow for transparency of data and replication by others. Authors are highly encouraged to use the Rigor and Reproducibility Checklist when preparing their original research submissions for APS Journals.  ",Complete
48,SG,"journal of computational neuroscience",Yes,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,"I am assuming it is 'required'  The wording I found was 'For life science journals only (when applicable)  Trial registration number and date of registration'  ","Not mentioned","But see comment above","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned","But you have to fill in a declaration on umpteen  things - one is 'Availability of data and material (data transparency)'  This is a section in the submitted manuscript.","Not mentioned","But you have to fill in a declaration on umpteen  things - one is 'Code availability (software application or custom code)'","Not mentioned","But see comment for box above.",Yes,"JUST A COMMENT: author stuff refers to many guidelines listed at the start.  It mentions Prisma-P which was not listed by us. ",Complete
49,SG,"journal of clinical neuroscience",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",Encouraged/recommended,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",Encouraged/recommended,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",No,,Complete
50,LB,"frontiers in neuroscience",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,Required/mandated,,"Not mentioned",,No,,Complete
51,ZD,"neural networks",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,No,,Unverified
52,ZD,"neurology-neuroimmunology & neuroinflammation",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,,"Not mentioned","This is mandatory for clinical trials and optional for other studies.","Not mentioned",,Required/mandated,"Provide data on all identified primary and secondary outcomes identified in the Methods section","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,,"Journal encourages authors NOT to use p values:    Due to growing concerns on the overuse and misinterpretation of p values, replace p values with estimates of effects or association...unless the protocol or the statistical analysis plan has specified methods to adjust for multiplicity of testing...The analysis of all secondary and other endpoints should focus on estimates and 95% confidence intervals.     When possible, provide absolute rather than relative risks, and include measures of association and estimates of precision rather than simply p values. ",,"See above comment.",Required/mandated,,Required/mandated,"The term 'trend'...is not appropriate to use when a finding is 'almost, but not, significant' according to your criteria (such as p<0.05). Please correct the text to more correct wording, such as 'the result was ... but this was not different from ... '.","Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Unverified
53,LB,"european journal of neurology",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Statistical measures such as SD or SEM should be identified in the headings.","Not mentioned",,Encouraged/recommended,"EJN expects you to archive all the data from which your published results are derived in a public repository.","Not mentioned",,"Not mentioned",,No,,Complete
54,SG,"international journal of neuroscience",Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"'This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.'   ","Not mentioned","Not mentioned specifically.  ","Not mentioned","See comment above. NOTE re reporting guidelines listed at the start. These are only an indirect reference if I clicked the ICMJE link. It is a typical Taylor Francis standard guidelines document with some adjustment for the particular journal",Yes,"It was confusing as there are the general guidelines for Taylor and Francis journals with a mention of the IMJCE policies separately.  One could spend a lot of time looking for minor inconsistencies.  NOT simple for an author - better for them to go to recent papers published in the journal itself!",Complete
55,SG,"canadian journal of physiology and pharmacology",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"'The assumptions and (or) the model underlying any statistical analysis should be clearly stated. Do not use symbols such as * and ** to denote levels of significance unless accompanied by actual p values.'",Encouraged/recommended,"see note above","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned","Mentioned but weak:  'Supply a data availability statement that says WHETHER the data underpinning the work are available. If yes, specify how data can be accessed and under what conditions data can be reused. Supply repository name, persistent unique identifier ...'","Not mentioned",,"Not mentioned","NOTE re first section: authors told to go to Equator. 'Study reporting guidelines can help authors report their work transparently and accurately. We encourage their use. Up-to-date guidelines can be found at the EQUATOR Network, where authors can consult the flow chart or wizard to identify which guideline(s) to use. A completed copy of the guideline checklist may be submitted with the manuscript as a Supplementary file.'",No,,Complete
56,SG,"brain and behavior",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"'should' This is from the paragraph on Tables:   'Statistical measures such as SD or SEM should be identified in the headings'","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"'Brain and Behavior expects you to archive all the data from which your published results are derived in a public repository. '","Not mentioned","code/spreadsheets not mentioned specifically but see note above. ","Not mentioned","code/spreadsheets not mentioned specifically but see note above.     SEPARATE NOTE re first section: the journal lists 11 guidelines to use.  The next paragraph has even more:   'We also encourage authors to refer to and follow guidelines from:  •	Future of Research Communications and e-Scholarship (FORCE11)  •	National Research Council's Institute for Laboratory Animal Research guidelines  •	The Gold Standard Publication Checklist from Hooijmans and colleagues  •	Minimum Information Guidelines from Diverse Bioscience Communities (MIBBI) website  •	FAIRsharing website  '",No,,Complete
57,LB,eneuro,No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated," A statement confirming that, following IPA, the   authors agree to register their approved protocol   on the Open Science Framework or other   recognized repository, either publicly or under   private embargo until submission of the Stage 2   manuscript.",Required/mandated,,Required/mandated,"Detailed information on each analysis performed   is included with specific p values.    The authors must state the statistical methods they have used: descriptive and/or experimental design. ","Not mentioned","The outcomes of confirmatory pre-registered   analyses are, in all cases, clearly distingiushed   from the outcomes of any additional unregistered   analyses.","Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Detailed information on each analysis performed   is included with specific p values.",Required/mandated,"Authors reporting null hypothesis significance tests are required to report exact p values and effect sizes for all inferential analyses.",Encouraged/recommended,"Statistical analysis should always include effect sizes and expressions of uncertainty (an interval estimate).","Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Required/mandated,"Anonymized raw data and digital study materials must be made freely available in a public repository/archive with a link provided within the Stage 2 manuscript.  ",Required/mandated,"That the manuscript includes a link to the public   archive containing anonymized study data, digital materials/code and the laboratory log.     New computational neuroscience computer code must be included with the initial submission as Extended Data to ensure reproducibility if published and be deposited in a suitable repository such as GitHub, ModelDB, BioModels, CellML, or Visiome","Not mentioned","States: The following resources offer helpful guidelines on how to report statistical results:    citing Curran-Everitt, ""The following resources offer helpful guidelines on how to report statistical results:""",No,,Complete
58,LB,"current neurology and neuroscience reports",Yes,Checked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Checked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,"All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. ","Not mentioned",,No,,Complete
59,ZD,neuron,Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Encouraged/recommended,,Encouraged/recommended,"Cell Press journals support the pre-registration of both clinical trials and analysis plans in curated, public repositories when authors consider it appropriate. ","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"For pooled data only: For any figures presenting pooled data, the measures should be defined in the figure legends (for example, ""Data are represented as mean ± SEM.""). ","Not mentioned",,Encouraged/recommended,"For some data public availability is mandatory, for other types it is encouraged.",Required/mandated,"any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository",Required/mandated,"any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository",No,,Unverified
60,AB,"european journal of neuroscience",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,"both recommend that clinical trials should be registered prospectively","Not mentioned",,Required/mandated,,Required/mandated,,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,"Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.",Required/mandated,"??Important descriptive statistics, such as mean and standard deviation  (SD), or standard error of the mean (SEM), need to be either  represented graphically or numerically in the text.","Not mentioned",,"Not mentioned",,Required/mandated,,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,Required/mandated,"This journal mandates and peer reviews data sharing","Not mentioned",,"Not mentioned","Refers to   Reporting statistical methods and statistical results in EJR  European Journal of Neuroscience, Vol. 28, pp. 2363-2364, 2008    for statistical guidelines",No,,Complete
61,AB,"journal of the neurological sciences",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,Encouraged/recommended,,No,,Complete
62,AB,"journal of cognitive neuroscience",No,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Encouraged/recommended,"not specifically mentioned foro clinical trials  The journal offers the option to preregister a study and its data analysis plan ",Encouraged/recommended,,Required/mandated,,"Not mentioned",,"Not mentioned",,Required/mandated,"'They should also disclose any data exclusions'  Does not mention criteria?","Not mentioned",,Encouraged/recommended,"and/or include Bayesian statistics that can assess evidence for the null hypothesis ??","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,"Implied  Test statistics should be reported with two decimal points",Required/mandated,,"Not mentioned","'encourages researchers to also report effect sizes (e.g., Szucs & Ioannidis, 2017) '     No mention of measure of precision   ","Not mentioned",,Encouraged/recommended,"and/or include Bayesian statistics that can assess evidence for the null hypothesis ??","Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,"endorse depositing of materials, data, and analysis scripts",Encouraged/recommended,"**See excel spreadsheet for approx 10 refs for reporting guidelines not used here. Should these be added? DISCUSS",No,,Incomplete
63,AB,"neural plasticity",Yes,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Required/mandated,,"Not mentioned",,Required/mandated,,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,"publish algorithms","Not mentioned","**Authors are strongly encouraged to use appropriate reporting guidelines (comment for q1)    This includes ICMJE RECOMMENDATIONS PDF - ",No,,Complete
64,LB,"american journal of physiology-lung cellular and molecular physiology",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,"If clinical trials were used, a statement of registration is required - not sure if this is enough?","Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Advances in Physiology Education supports adherence of two of the 2004 Guidelines for Reporting Statistics:  Guideline 5. Report variability using a standard deviation. If the standard deviation is not a meaningful estimate of variability, as when the data are skewed, then the range or interquartile range provide more meaningful estimates",Encouraged/recommended,,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,"Authors are strongly encouraged to present graphical data in a format that shows the range of data points in relation to the mean value and significance (i.e. dot-whisker plots) rather than formats that may mask the variability (i.e. bar graphs).",Required/mandated,"Provide the experimental data and results as well as the particular statistical significance of the data.     To facilitate better reporting of information and data that are auxiliary or ancillary to the main content of the article, data supplements must now be deposited in generalist public access data repository if no community resource is available ",Encouraged/recommended,"1.	Upon submission of a paper reporting computer simulation using original, author-generated code, authors are encouraged to deposit software and code via a public repository, such as GitHub, if not already deposited to a public repository","Not mentioned",,Yes,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?    Encouraged authors to consult the APS editorial. ",Complete
65,LB,"american journal of physiology-heart and circulatory physiology",Yes,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,Required/mandated,,Encouraged/recommended,,"Not mentioned","Encourages authors to consult the APS editorial. ",Yes,"Some instructions ""encourage"" authors to deposit data in repositories while further down in the instructions it states you ""must"" deposit them. Unclear if it is an ""encourage"" or ""mandate""?",Complete
66,ZD,neuropsychopharmacology,Yes,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Required/mandated,,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,"Not mentioned",,Encouraged/recommended,,"Not mentioned",,"Not mentioned",,No,,Unverified
